level,standard_code,indicator_code,indicator_name_th,sort_no
EARLY_CHILDHOOD,1,1.1,เด็กเจริญเติบโตสมวัย สุขภาพแข็งแรง และมีพัฒนาการด้านการเคลื่อนไหว,1
EARLY_CHILDHOOD,1,1.2,สติปัญญา การเรียนรู้ และความคิดสร้างสรรค์,2
EARLY_CHILDHOOD,1,1.3,ภาษาและการสื่อสาร,3
EARLY_CHILDHOOD,1,1.4,อารมณ์และจิตใจ,4
EARLY_CHILDHOOD,1,1.5,สังคมและคุณธรรม,5
EARLY_CHILDHOOD,2,2.1,วิสัยทัศน์ พันธกิจ และค่านิยมของสถานศึกษาหรือสถานพัฒนาเด็กปฐมวัย,1
EARLY_CHILDHOOD,2,2.2,กลยุทธ์และเป้าหมายของสถานศึกษาหรือสถานพัฒนาเด็กปฐมวัย,2
EARLY_CHILDHOOD,2,2.3,ผู้บริหารมีภาวะผู้นำทางวิชาการและบริหารจัดการด้วยหลักธรรมาภิบาล,3
EARLY_CHILDHOOD,2,2.4,การพัฒนาวิชาชีพผู้บริหาร ครู/ผู้ดูแลเด็ก และบุคลากรทางการศึกษา,4
EARLY_CHILDHOOD,2,2.5,การนิเทศครู/ผู้ดูแลเด็ก และการประเมินการปฏิบัติงานอย่างเป็นระบบ,5
EARLY_CHILDHOOD,2,2.6,การใช้สื่อ อุปกรณ์ และระบบเทคโนโลยีสนับสนุนการจัดการศึกษา,6
EARLY_CHILDHOOD,2,2.7,การจัดสภาพแวดล้อม อาคารสถานที่ ปลอดภัยและถูกสุขลักษณะ,7
EARLY_CHILDHOOD,2,2.8,สวัสดิการ–สวัสดิภาพ แนวทางป้องกันโรค อุบัติภัย และภัยพิบัติ,8
EARLY_CHILDHOOD,2,2.9,ระบบและกระบวนการช่วยเหลือดูแลเด็กปฐมวัย,9
EARLY_CHILDHOILD,2,2.10,ประกันคุณภาพภายใน/การสื่อสารผลและการมีส่วนร่วมของผู้เกี่ยวข้อง,10
EARLY_CHILDHOOD,3,3.1,หลักสูตร/แผนจัดประสบการณ์ที่เน้นพัฒนาการทั้งห้าและการเล่นเป็นฐาน,1
EARLY_CHILDHOOD,3,3.2,การจัดประสบการณ์การเรียนรู้เชิงรุก เหมาะวัย มีส่วนร่วม และคำนึงความปลอดภัย,2
EARLY_CHILDHOOD,3,3.3,การประเมินพัฒนาการและการใช้ข้อมูลรายบุคคลเพื่อพัฒนาเด็กอย่างต่อเนื่อง,3

BASIC,1,1.1,ผู้เรียนมีสมรรถนะตามหลักสูตรสถานศึกษา,1
BASIC,1,1.2,ผู้เรียนมีคุณลักษณะที่พึงประสงค์ตามหลักสูตรสถานศึกษา,2
BASIC,1,1.3,ผู้เรียนสามารถนำตนเองในการเรียนรู้,3
BASIC,2,2.1,วิสัยทัศน์ พันธกิจ และค่านิยมของสถานศึกษา,1
BASIC,2,2.2,นโยบาย ทิศทาง กลยุทธ์ และแผนงานสอดคล้องวิสัยทัศน์/พันธกิจ,2
BASIC,2,2.3,ผู้บริหารมีภาวะผู้นำทางวิชาการและบริหารจัดการด้วยหลักธรรมาภิบาล,3
BASIC,2,2.4,แผนงานและการพัฒนาครูและบุคลากรทางการศึกษา,4
BASIC,2,2.5,กระบวนการนิเทศการปฏิบัติงานของครูและบุคลากรทางการศึกษาอย่างเป็นระบบ,5
BASIC,2,2.6,การใช้สื่อ อุปกรณ์ และระบบเทคโนโลยีเพื่อสนับสนุนการจัดการศึกษา,6
BASIC,2,2.7,การจัดสภาพแวดล้อม อาคารสถานที่ ปลอดภัยและถูกสุขลักษณะ,7
BASIC,2,2.8,สวัสดิการ/สวัสดิภาพ แนวทางป้องกันโรค อุบัติภัย และภัยพิบัติ,8
BASIC,2,2.9,ระบบและกระบวนการช่วยเหลือผู้เรียน,9
BASIC,2,2.10,การเสริมสร้างเครือข่ายผู้ปกครอง องค์กร และชุมชนเพื่อสนับสนุนการจัดการเรียนรู้,10
BASIC,3,3.1,การออกแบบหลักสูตรและแผนการจัดการเรียนรู้ที่เสริมสมรรถนะ/คุณลักษณะ,1
BASIC,3,3.2,การจัดกิจกรรมการเรียนรู้ที่เสริมสมรรถนะ/คุณลักษณะ,2
BASIC,3,3.3,ครูวัดและประเมินผลการเรียนรู้อย่างเป็นระบบและต่อเนื่อง,3
