indicator_code,item_no,text_th
1.1,1,น้ำหนัก/ส่วนสูงสมส่วนตามเกณฑ์กรมอนามัย
1.1,2,ใช้กล้ามเนื้อมัดใหญ่เคลื่อนไหวและทรงตัวได้
1.1,3,ใช้กล้ามเนื้อมัดเล็ก–ตาประสานสัมพันธ์ได้
1.1,4,มีสุขนิสัยที่ดีและช่วยเหลือตนเองเหมาะสมตามวัย
1.1,5,รับประทานอาหารมีประโยชน์หลากหลาย
1.1,6,เล่น/ทำกิจกรรมอย่างปลอดภัย
1.2,1,บอกเล่าเรื่องราวเกี่ยวกับตนเอง บุคคล สถานที่ และสิ่งแวดล้อมได้
1.2,2,คิดแก้ปัญหาอย่างง่าย มีพื้นฐานคณิตศาสตร์/วิทยาศาสตร์
1.2,3,สร้างผลงานตามจินตนาการและความคิดสร้างสรรค์
1.3,1,ฟัง–พูดสื่อสารโต้ตอบ ตั้งคำถาม เล่าเรื่องต่อเนื่อง
1.3,2,อ่านภาพ/สัญลักษณ์ รู้จักตัวอักษรและอ่านเบื้องต้น
1.3,3,วาด–ขีดเขียนได้สอดคล้องพัฒนาการ
1.4,1,แสดงออกทางอารมณ์เหมาะสม มีทัศนคติดีต่อตนเองและผู้อื่น
1.4,2,ยับยั้งชั่งใจ อดทน รอคอย และปรับตัวตามสถานการณ์
1.4,3,สนใจและเข้าร่วมกิจกรรมอย่างเหมาะสมตามวัย
1.5,1,ยอมรับความแตกต่าง อยู่ร่วมและทำงานกับผู้อื่นได้
1.5,2,มีค่านิยมที่พึงประสงค์ เมตตา แบ่งปัน มีวินัยและซื่อสัตย์
1.5,3,ภาคภูมิใจในครอบครัว/ชุมชน และเป็นพลเมืองดี
2.1-EC,1,กำหนดวิสัยทัศน์–พันธกิจ–ค่านิยมโดยมีส่วนร่วมและสื่อสารทั่วถึง
2.1-EC,2,ทบทวน/ปรับให้สอดคล้องบริบทและสถานการณ์
2.2-EC,1,กำหนดกลยุทธ์และเป้าหมายที่วัดผลได้และติดตามต่อเนื่อง
2.2-EC,2,ใช้ผลประเมินภายใน/ภายนอกครั้งก่อนพัฒนางานและรายงานสาธารณะ
2.3-EC,1,บริหารด้วยหลักธรรมาภิบาล 6 ประการ
2.3-EC,2,ส่งเสริม PLC และสำรวจความพึงพอใจผู้เกี่ยวข้อง
2.4-EC,1,แผนพัฒนาวิชาชีพครู/ผู้ดูแลเด็ก ครอบคลุมความเสี่ยง–ความปลอดภัย
2.4-EC,2,ติดตามผลการพัฒนาและนำไปสู่การปฏิบัติ
2.5-EC,1,นิเทศการสอนและประเมินผลงานครูอย่างเป็นระบบ
2.5-EC,2,นำผลนิเทศสู่แผนพัฒนาวิชาชีพ
3.1-EC,1,โครงสร้างหลักสูตร/แผนจัดประสบการณ์เหมาะวัยและเน้นการเล่นเป็นฐาน
3.1-EC,2,บูรณาการพัฒนาการทั้ง 5 ด้านและบริบทท้องถิ่น
3.2-EC,1,กิจกรรม Active/Play-based ปลอดภัย มีส่วนร่วม และคำนึงความแตกต่างระหว่างบุคคล
3.2-EC,2,ใช้สื่อ/อุปกรณ์เหมาะวัย และสะท้อนกลับการเรียนรู้
3.3-EC,1,ประเมินพัฒนาการรายบุคคล สร้างสารสนเทศเพื่อพัฒนาเด็ก
3.3-EC,2,สื่อสารผลแก่ผู้ปกครอง/ผู้เกี่ยวข้องและใช้ผลปรับแผน

1.1-B,1,หลักฐานสมรรถนะผู้เรียนตามหลักสูตรสถานศึกษา (ผลอ่าน–เขียน–สื่อสาร ฯลฯ)
1.1-B,2,ผลสัมฤทธิ์/ชิ้นงาน/ผลงาน/รางวัล/การทดสอบ (RT/NT/O-NET ฯลฯ)
1.1-B,3,โครงการ/กิจกรรมพัฒนาคุณภาพผู้เรียนและหลักฐานอื่นที่เกี่ยวข้อง
